session_id,experiment_id,run_index,timestamp,tier,phase,candidate,change,baseline_ref,commit_hash,env_snapshot_id,primary_metric,quality_metric,peak_gpu_mem_mib,quality_verdict,win_status,logging_mode,event_log_anchor,notes,gpu_util_avg,cpu_util_avg,compile_time_s,hp_values_json
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:0,0,2026-05-04T16:52:27-04:00,short,prep_p1_sanity_baseline,baseline,none,,e23ffee,env_2026-05-04_cn-l003,7722.1,8.693,4659.6,PASS,NA,original,T+15,sanity baseline; voir ran ~440s (stop=200 obs at ~2.15s/obs); max_duration=120 not enforced by voir earlystop; both extraction recipes return numeric values,NA,NA,NA,{}
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:1,1,2026-05-05T10:12:00-04:00,short,prep_p2_short_baseline,baseline,seed=2,2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,7733.0,NA,4659.6,NA,NA,original,T+50,short-run baseline replicate seed=2; voir stop=200 skip=5; n=200 obs,NA,NA,NA,"{""num_envs"": 128, ""num_steps"": 128, ""num_minibatches"": 4, ""update_epochs"": 4, ""seed"": 2}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:2,2,2026-05-05T10:12:00-04:00,short,prep_p2_short_baseline,baseline,seed=3,2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,7815.5,NA,4659.6,NA,NA,original,T+50,short-run baseline replicate seed=3; voir stop=200 skip=5; n=200 obs,NA,NA,NA,"{""num_envs"": 128, ""num_steps"": 128, ""num_minibatches"": 4, ""update_epochs"": 4, ""seed"": 3}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:3,3,2026-05-05T10:12:00-04:00,short,prep_p2_short_baseline,baseline,sweep run seed=1,2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,7722.0,NA,4659.6,NA,NA,original,T+50,default HP sweep run used as 4th short-run baseline replicate,NA,NA,NA,"{""num_envs"": 128, ""num_steps"": 128, ""num_minibatches"": 4, ""update_epochs"": 4, ""seed"": 1}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:4,4,2026-05-05T10:12:00-04:00,short,prep_p2_sweep,e64_s128_m4_u4,num_envs=64 (-50%),2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,6704.8,NA,2825.6,NA,NA,original,T+50,Tier-1 sweep; num_envs=64 (-50%); n=200 obs,NA,NA,NA,"{""num_envs"": 64, ""num_steps"": 128, ""num_minibatches"": 4, ""update_epochs"": 4}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:5,5,2026-05-05T10:12:00-04:00,short,prep_p2_sweep,e128_s128_m4_u4,default (baseline),2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,7722.0,NA,4659.6,NA,NA,original,T+50,Tier-1 sweep; default (baseline); n=200 obs,NA,NA,NA,"{""num_envs"": 128, ""num_steps"": 128, ""num_minibatches"": 4, ""update_epochs"": 4}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:6,6,2026-05-05T13:00:00-04:00,short,prep_p2_sweep,e256_s128_m4_u4,num_envs=256 (+100%); rerun with max_dur=1200,2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,8997.6,NA,7249.6,NA,NA,rerun,T+50,Tier-1 sweep; num_envs=256 (+100%); rerun with max_dur=1200; n=200 obs,NA,NA,NA,"{""num_envs"": 256, ""num_steps"": 128, ""num_minibatches"": 4, ""update_epochs"": 4}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:7,7,2026-05-05T13:00:00-04:00,short,prep_p2_sweep,e512_s128_m4_u4,num_envs=512 (+300%); stop=80 rerun,2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,8092.7,NA,13613.6,NA,NA,rerun,T+50,Tier-1 sweep; num_envs=512 (+300%); stop=80 rerun; n=80 obs,NA,NA,NA,"{""num_envs"": 512, ""num_steps"": 128, ""num_minibatches"": 4, ""update_epochs"": 4}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:8,8,2026-05-05T10:12:00-04:00,short,prep_p2_sweep,e128_s64_m4_u4,num_steps=64 (-50%),2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,7538.8,NA,2529.6,NA,NA,original,T+50,Tier-1 sweep; num_steps=64 (-50%); n=200 obs,NA,NA,NA,"{""num_envs"": 128, ""num_steps"": 64, ""num_minibatches"": 4, ""update_epochs"": 4}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:9,9,2026-05-05T13:00:00-04:00,short,prep_p2_sweep,e128_s256_m4_u4,num_steps=256 (+100%); rerun,2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,7807.8,NA,8349.6,NA,NA,rerun,T+50,Tier-1 sweep; num_steps=256 (+100%); rerun; n=200 obs,NA,NA,NA,"{""num_envs"": 128, ""num_steps"": 256, ""num_minibatches"": 4, ""update_epochs"": 4}"
